#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Roles|value
#T_RL=webanno.custom.RoleArrow|value|BT_webanno.custom.Roles


#Text=Human ovarian and endometrial cancer cell lines are frequently misidentified.
1-1	0-5	Human	Subject	_	_	
1-2	6-13	ovarian	Subject	Distribution	1-1	
1-3	14-17	and	_	_	_	
1-4	18-29	endometrial	Subject	Distribution	1-1	
1-5	30-36	cancer	Subject[1]	Concatenation|Concatenation	1-2[0_1]|1-4[0_1]	
1-6	37-41	cell	Subject[1]	_	_	
1-7	42-47	lines	Subject[1]	_	_	
1-8	48-51	are	_	_	_	
1-9	52-62	frequently	Restriction[2]	To|To	1-4[0_2]|1-2[0_2]	
1-10	63-76	misidentified	Restriction[2]	_	_	
1-11	76-77	.	_	_	_	
